  0.04  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.04  0.03  0.01  0.00 -0.03 -0.05 -0.06 -0.09 -0.10 -0.12 -0.12 -0.12 -0.10 -0.08 -0.06 -0.04 -0.01  0.01  0.03  0.04  0.05  0.04  0.03  0.00 -0.03 -0.05 -0.08 -0.10 -0.13 -0.14 -0.16 -0.16 -0.16 -0.14 -0.13 -0.10 -0.09 -0.06 -0.05 -0.03 -0.01  0.00  0.01  0.03  0.03  0.04  0.04
  0.06  0.08  0.08  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.08  0.08  0.08  0.08  0.06  0.05  0.04  0.03  0.01 -0.01 -0.05 -0.08 -0.10 -0.14 -0.16 -0.18 -0.20 -0.20 -0.20 -0.18 -0.17 -0.14 -0.12 -0.10 -0.09 -0.08 -0.08 -0.08 -0.09 -0.12 -0.13 -0.16 -0.18 -0.21 -0.22 -0.23 -0.23 -0.23 -0.22 -0.20 -0.17 -0.14 -0.12 -0.09 -0.06 -0.04 -0.03 -0.01  0.01  0.03  0.04  0.05  0.05
  0.08  0.09  0.10  0.12  0.12  0.13  0.13  0.13  0.12  0.12  0.12  0.10  0.10  0.09  0.09  0.08  0.06  0.05  0.03  0.00 -0.03 -0.06 -0.09 -0.13 -0.17 -0.20 -0.22 -0.25 -0.25 -0.26 -0.25 -0.23 -0.22 -0.21 -0.20 -0.18 -0.17 -0.17 -0.17 -0.18 -0.20 -0.22 -0.25 -0.26 -0.27 -0.29 -0.29 -0.29 -0.27 -0.26 -0.23 -0.21 -0.17 -0.14 -0.12 -0.09 -0.06 -0.04 -0.01  0.00  0.03  0.04  0.05  0.06
  0.09  0.12  0.13  0.14  0.14  0.16  0.16  0.16  0.14  0.14  0.13  0.12  0.12  0.10  0.09  0.08  0.06  0.04  0.03  0.00 -0.04 -0.06 -0.10 -0.14 -0.18 -0.21 -0.23 -0.26 -0.27 -0.29 -0.29 -0.29 -0.27 -0.26 -0.25 -0.23 -0.23 -0.23 -0.23 -0.25 -0.26 -0.27 -0.29 -0.30 -0.31 -0.31 -0.31 -0.31 -0.30 -0.27 -0.25 -0.22 -0.18 -0.16 -0.13 -0.10 -0.08 -0.05 -0.03  0.00  0.01  0.04  0.05  0.08
  0.10  0.12  0.14  0.16  0.17  0.17  0.17  0.17  0.17  0.16  0.14  0.13  0.12  0.10  0.09  0.06  0.05  0.04  0.01 -0.01 -0.04 -0.06 -0.10 -0.14 -0.17 -0.21 -0.23 -0.26 -0.27 -0.29 -0.29 -0.29 -0.29 -0.27 -0.27 -0.26 -0.26 -0.26 -0.26 -0.27 -0.27 -0.29 -0.30 -0.31 -0.31 -0.31 -0.31 -0.30 -0.29 -0.27 -0.25 -0.22 -0.20 -0.16 -0.13 -0.10 -0.09 -0.06 -0.04 -0.01  0.01  0.03  0.05  0.08
  0.10  0.13  0.14  0.16  0.17  0.18  0.18  0.17  0.17  0.16  0.14  0.12  0.10  0.09  0.06  0.05  0.04  0.01  0.00 -0.03 -0.04 -0.06 -0.09 -0.13 -0.16 -0.18 -0.21 -0.22 -0.25 -0.25 -0.26 -0.26 -0.26 -0.26 -0.26 -0.25 -0.25 -0.25 -0.26 -0.26 -0.26 -0.27 -0.29 -0.29 -0.29 -0.29 -0.29 -0.27 -0.26 -0.25 -0.22 -0.21 -0.18 -0.16 -0.14 -0.12 -0.10 -0.08 -0.05 -0.03  0.00  0.01  0.05  0.08
  0.09  0.12  0.14  0.16  0.17  0.18  0.18  0.17  0.16  0.14  0.13  0.10  0.08  0.06  0.04  0.03  0.01  0.00 -0.03 -0.04 -0.05 -0.06 -0.09 -0.10 -0.13 -0.14 -0.16 -0.18 -0.20 -0.21 -0.21 -0.21 -0.22 -0.22 -0.22 -0.22 -0.22 -0.22 -0.22 -0.22 -0.22 -0.23 -0.23 -0.23 -0.23 -0.23 -0.23 -0.22 -0.22 -0.21 -0.20 -0.18 -0.17 -0.16 -0.14 -0.13 -0.10 -0.09 -0.06 -0.05 -0.03  0.00  0.04  0.06
  0.08  0.10  0.13  0.14  0.16  0.17  0.16  0.16  0.14  0.12  0.10  0.08  0.05  0.04  0.01  0.00 -0.01 -0.03 -0.04 -0.05 -0.06 -0.06 -0.08 -0.09 -0.09 -0.10 -0.12 -0.13 -0.13 -0.14 -0.14 -0.16 -0.16 -0.16 -0.16 -0.16 -0.16 -0.16 -0.17 -0.17 -0.17 -0.17 -0.17 -0.17 -0.17 -0.17 -0.17 -0.17 -0.16 -0.16 -0.16 -0.16 -0.14 -0.14 -0.13 -0.13 -0.12 -0.10 -0.09 -0.06 -0.04 -0.01  0.01  0.05
  0.06  0.09  0.12  0.13  0.14  0.14  0.14  0.13  0.12  0.09  0.08  0.05  0.03  0.00 -0.01 -0.04 -0.04 -0.05 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.06 -0.08 -0.08 -0.08 -0.08 -0.09 -0.09 -0.09 -0.09 -0.09 -0.09 -0.09 -0.09 -0.09 -0.09 -0.09 -0.09 -0.09 -0.10 -0.10 -0.10 -0.10 -0.12 -0.12 -0.12 -0.13 -0.13 -0.13 -0.12 -0.10 -0.09 -0.08 -0.05 -0.03  0.00  0.03
  0.04  0.06  0.09  0.10  0.12  0.12  0.12  0.10  0.09  0.06  0.04  0.01  0.00 -0.03 -0.05 -0.06 -0.06 -0.08 -0.08 -0.08 -0.06 -0.06 -0.05 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.04 -0.04 -0.05 -0.06 -0.08 -0.09 -0.09 -0.10 -0.12 -0.12 -0.12 -0.12 -0.10 -0.09 -0.06 -0.04 -0.01  0.01
  0.03  0.05  0.06  0.08  0.09  0.09  0.09  0.08  0.05  0.04  0.01 -0.01 -0.04 -0.05 -0.06 -0.08 -0.09 -0.09 -0.09 -0.08 -0.06 -0.05 -0.04 -0.03 -0.01  0.00  0.01  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.03  0.03  0.01  0.00 -0.01 -0.04 -0.05 -0.06 -0.09 -0.10 -0.10 -0.10 -0.10 -0.10 -0.09 -0.06 -0.05 -0.03  0.00
  0.01  0.04  0.05  0.06  0.06  0.06  0.05  0.04  0.03  0.00 -0.01 -0.04 -0.05 -0.08 -0.09 -0.09 -0.10 -0.10 -0.09 -0.08 -0.06 -0.05 -0.04 -0.01  0.00  0.03  0.04  0.05  0.06  0.06  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.06  0.06  0.05  0.03  0.01  0.00 -0.03 -0.04 -0.06 -0.08 -0.09 -0.09 -0.09 -0.09 -0.08 -0.06 -0.05 -0.03  0.00
  0.00  0.01  0.03  0.04  0.04  0.04  0.03  0.01  0.00 -0.03 -0.04 -0.05 -0.08 -0.09 -0.09 -0.10 -0.10 -0.09 -0.09 -0.08 -0.06 -0.04 -0.03  0.00  0.01  0.03  0.05  0.06  0.08  0.08  0.09  0.09  0.10  0.10  0.10  0.10  0.12  0.12  0.12  0.12  0.12  0.12  0.10  0.10  0.10  0.09  0.08  0.06  0.05  0.04  0.01  0.00 -0.01 -0.04 -0.05 -0.06 -0.08 -0.08 -0.08 -0.06 -0.06 -0.05 -0.03 -0.01
 -0.01  0.00  0.01  0.01  0.01  0.01  0.00 -0.01 -0.03 -0.04 -0.05 -0.06 -0.08 -0.09 -0.09 -0.09 -0.09 -0.09 -0.08 -0.06 -0.04 -0.03 -0.01  0.00  0.03  0.04  0.05  0.06  0.06  0.08  0.09  0.09  0.10  0.10  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.12  0.10  0.10  0.09  0.09  0.08  0.06  0.05  0.04  0.01  0.00 -0.01 -0.03 -0.04 -0.05 -0.05 -0.05 -0.05 -0.05 -0.04 -0.03 -0.01
 -0.01 -0.01  0.00  0.00  0.00 -0.01 -0.01 -0.03 -0.04 -0.05 -0.06 -0.08 -0.08 -0.09 -0.09 -0.08 -0.08 -0.06 -0.05 -0.04 -0.03 -0.01  0.00  0.01  0.03  0.03  0.04  0.05  0.05  0.06  0.08  0.08  0.09  0.09  0.10  0.10  0.12  0.12  0.12  0.12  0.12  0.10  0.10  0.10  0.09  0.09  0.08  0.06  0.06  0.05  0.04  0.03  0.03  0.01  0.00 -0.01 -0.03 -0.03 -0.04 -0.04 -0.04 -0.04 -0.03 -0.03
 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.04 -0.04 -0.05 -0.06 -0.06 -0.08 -0.08 -0.08 -0.08 -0.06 -0.05 -0.05 -0.04 -0.03 -0.01  0.00  0.01  0.01  0.03  0.03  0.03  0.03  0.04  0.04  0.05  0.05  0.06  0.08  0.08  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.08  0.08  0.06  0.06  0.06  0.05  0.05  0.05  0.05  0.04  0.04  0.03  0.01  0.01  0.00 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03
 -0.03 -0.03 -0.04 -0.04 -0.04 -0.04 -0.04 -0.05 -0.05 -0.06 -0.06 -0.06 -0.06 -0.06 -0.05 -0.05 -0.04 -0.03 -0.01  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.04  0.04  0.05  0.05  0.06  0.06  0.06  0.06  0.06  0.05  0.05  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.03  0.03  0.01  0.00 -0.01 -0.01 -0.03 -0.03 -0.03
 -0.04 -0.04 -0.04 -0.04 -0.04 -0.05 -0.05 -0.05 -0.05 -0.05 -0.05 -0.05 -0.05 -0.04 -0.04 -0.03 -0.01  0.00  0.01  0.01  0.03  0.03  0.03  0.03  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.03  0.03  0.04  0.04  0.03  0.03  0.03  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.04  0.04  0.05  0.05  0.05  0.04  0.04  0.03  0.01  0.00 -0.01 -0.01 -0.03 -0.04
 -0.04 -0.05 -0.05 -0.05 -0.05 -0.05 -0.05 -0.05 -0.05 -0.05 -0.04 -0.04 -0.04 -0.03 -0.01 -0.01  0.00  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.00 -0.01 -0.01 -0.03 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01  0.00  0.01  0.01  0.03  0.04  0.04  0.05  0.05  0.05  0.04  0.03  0.01  0.01  0.00 -0.01 -0.03 -0.04
 -0.04 -0.05 -0.05 -0.05 -0.05 -0.05 -0.04 -0.04 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.01  0.03  0.03  0.04  0.04  0.04  0.03  0.03  0.01  0.01  0.00 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.01  0.00  0.01  0.01  0.03  0.04  0.04  0.05  0.04  0.04  0.03  0.03  0.01  0.00 -0.01 -0.03 -0.04
 -0.04 -0.05 -0.05 -0.05 -0.05 -0.04 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.01  0.01  0.01  0.03  0.03  0.03  0.04  0.03  0.03  0.03  0.01  0.01  0.00 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.03 -0.03 -0.01  0.00  0.01  0.01  0.03  0.04  0.04  0.04  0.03  0.03  0.01  0.00 -0.01 -0.03 -0.03 -0.04
 -0.04 -0.05 -0.05 -0.04 -0.04 -0.04 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.01  0.00  0.00 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.03 -0.03 -0.03 -0.01 -0.01  0.00  0.01  0.01  0.03  0.03  0.03  0.03  0.01  0.01  0.00 -0.01 -0.03 -0.03 -0.04
 -0.04 -0.04 -0.04 -0.04 -0.04 -0.03 -0.01 -0.01  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.01  0.01  0.01  0.01  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.00  0.01  0.01  0.00  0.00  0.00 -0.01 -0.01 -0.03 -0.03 -0.04
 -0.04 -0.04 -0.03 -0.03 -0.03 -0.01 -0.01  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03
 -0.03 -0.03 -0.03 -0.01 -0.01 -0.01  0.00  0.00  0.01  0.01  0.01  0.03  0.01  0.01  0.01  0.00  0.00  0.00 -0.01 -0.01  0.00  0.00  0.00  0.01  0.01  0.03  0.03  0.04  0.04  0.04  0.03  0.03  0.03  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03
 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.01  0.01  0.01  0.03  0.03  0.01  0.01  0.01  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.01  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.03  0.03  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01
 -0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01  0.00  0.01  0.01  0.03  0.03  0.04  0.04  0.04  0.04  0.03  0.03  0.03  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.00  0.00 -0.01 -0.01 -0.01 -0.03 -0.03 -0.03 -0.03 -0.03 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01
  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.01  0.01  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.00
  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03  0.03  0.03  0.01  0.01  0.01  0.01  0.00  0.00  0.00  0.00 -0.01 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.00  0.00  0.00
  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
